,사고년도,사고월,사고일,사고시각,사고시간_인덱스,사고요일,사고요일_i,사고장소,위도,경도,사고내용,사고내용_i,사고유형,사고유형_i,기상상태,기상상태_i,도로형태,가해운전자 차종,가해운전자 차종_i,가해운전자 성별,가해운전자 성별_i,가해운전자_연령대,피해운전자 차종,피해운전자 차종_i,피해운전자 성별,피해운전자 성별_i,피해운전자_연령대
0,2018,4,6,17,5,금,4,서울특별시 강남구 역삼동 논현로,37.4999072,127.0373932,경상,1,차대차,0,맑음,0,0,승용,0,남,0,30,이륜,5,남,0,40
1,2018,4,21,2,0,토,5,서울특별시 강남구 역삼동 역삼로,37.4990748,127.0470296,경상,1,차대차,0,맑음,0,0,승용,0,남,0,30,승용,0,남,0,40
2,2018,1,30,21,7,화,1,서울특별시 강남구 역삼동 도곡로,37.494213,127.0462502,경상,1,차대차,0,맑음,0,0,승용,0,남,0,30,승용,0,남,0,50
3,2018,5,22,20,6,화,1,서울특별시 강남구 역삼동 언주로,37.4999072,127.0373932,중상,2,차대차,0,비,1,1,승용,0,남,0,60,이륜,5,남,0,60
4,2018,8,24,19,6,금,4,서울특별시 강남구 역삼동 언주로,37.4999072,127.0373932,경상,1,차대차,0,맑음,0,0,승용,0,남,0,20,승용,0,남,0,70
5,2018,7,17,22,7,화,1,서울특별시 강남구 역삼동 논현로,37.4999072,127.0373932,경상,1,차대차,0,맑음,0,1,승용,0,남,0,20,이륜,5,남,0,50
6,2018,7,23,17,5,월,0,서울특별시 강남구 역삼동 논현로,37.4999072,127.0373932,경상,1,차대차,0,맑음,0,1,승용,0,남,0,20,이륜,5,남,0,50
7,2018,6,1,23,7,금,4,서울특별시 강남구 역삼동 선릉로63길,37.4972374,127.0514433,경상,1,차대사람,1,맑음,0,1,승용,0,남,0,40,보행자,9,남,0,50
8,2018,12,31,0,0,월,0,서울특별시 강남구 역삼동 역삼로,37.4990748,127.0470296,경상,1,차대사람,1,맑음,0,0,승용,0,여,1,20,보행자,9,남,0,40
9,2018,9,8,13,4,토,5,서울특별시 강남구 역삼동 논현로,37.4999072,127.0373932,경상,1,차대사람,1,맑음,0,0,승용,0,여,1,50,보행자,9,남,0,20
10,2018,2,2,13,4,금,4,서울특별시 강남구 역삼동 논현로,37.4999072,127.0373932,경상,1,차대차,0,맑음,0,1,승용,0,남,0,30,승용,0,남,0,70
