주소,사고발생 횟수
서울특별시 강남구 개포동 개포로,58
서울특별시 강남구 개포동 개포로109길,6
서울특별시 강남구 개포동 개포로110길,2
서울특별시 강남구 개포동 개포로22길,4
서울특별시 강남구 개포동 개포로25길,1
서울특별시 강남구 개포동 개포로82길,1
서울특별시 강남구 개포동 광평로,1
서울특별시 강남구 개포동 남부순환로,3
서울특별시 강남구 개포동 논현로,15
서울특별시 강남구 개포동 논현로10길,5
서울특별시 강남구 개포동 논현로12길,1
서울특별시 강남구 개포동 논현로168길,1
서울특별시 강남구 개포동 논현로16길,4
서울특별시 강남구 개포동 논현로18길,1
서울특별시 강남구 개포동 논현로2길,1
서울특별시 강남구 개포동 도곡로,1
서울특별시 강남구 개포동 동산로,1
서울특별시 강남구 개포동 바우뫼로,1
서울특별시 강남구 개포동 밤고개로,1
서울특별시 강남구 개포동 분당수서로,1
서울특별시 강남구 개포동 삼성로,12
서울특별시 강남구 개포동 삼성로4길,1
서울특별시 강남구 개포동 선릉로,13
서울특별시 강남구 개포동 선릉로4길,2
서울특별시 강남구 개포동 양재대로,59
서울특별시 강남구 개포동 양재대로55길,1
서울특별시 강남구 개포동 언주로,54
서울특별시 강남구 개포동 언주로30길,2
서울특별시 강남구 개포동 언주로63길,1
서울특별시 강남구 개포동 역삼로,2
서울특별시 강남구 개포동 영동대로,23
서울특별시 강남구 개포동 영동대로3길,2
서울특별시 강남구 개포동 올림픽대로,1
서울특별시 강남구 개포동 일원로,1
서울특별시 강남구 개포동 테헤란로38길,1
서울특별시 강남구 논현동 강남대로,84
서울특별시 강남구 논현동 강남대로118길,24
서울특별시 강남구 논현동 강남대로122길,18
서울특별시 강남구 논현동 강남대로146길,7
서울특별시 강남구 논현동 논현로,110
서울특별시 강남구 논현동 논현로127길,2
서울특별시 강남구 논현동 논현로128길,4
서울특별시 강남구 논현동 논현로131길,3
서울특별시 강남구 논현동 논현로132길,4
서울특별시 강남구 논현동 논현로145길,2
서울특별시 강남구 논현동 논현로149길,3
서울특별시 강남구 논현동 논현로150길,3
서울특별시 강남구 논현동 논현로93길,1
서울특별시 강남구 논현동 도산대로,93
서울특별시 강남구 논현동 도산대로24길,1
서울특별시 강남구 논현동 도산대로30길,3
서울특별시 강남구 논현동 도산대로46길,7
서울특별시 강남구 논현동 도산대로49길,1
서울특별시 강남구 논현동 도산대로4길,1
서울특별시 강남구 논현동 도산대로50길,5
서울특별시 강남구 논현동 도산대로8길,3
서울특별시 강남구 논현동 봉은사로,83
서울특별시 강남구 논현동 봉은사로114길,1
서울특별시 강남구 논현동 봉은사로21길,1
서울특별시 강남구 논현동 봉은사로2길,2
서울특별시 강남구 논현동 봉은사로37길,7
서울특별시 강남구 논현동 봉은사로43길,2
서울특별시 강남구 논현동 봉은사로49길,2
서울특별시 강남구 논현동 봉은사로7길,15
서울특별시 강남구 논현동 사평대로,1
서울특별시 강남구 논현동 삼성로,1
서울특별시 강남구 논현동 선릉로,24
서울특별시 강남구 논현동 선릉로119길,1
서울특별시 강남구 논현동 선릉로121길,3
서울특별시 강남구 논현동 선릉로129길,4
서울특별시 강남구 논현동 선릉로131길,4
서울특별시 강남구 논현동 선릉로145길,5
서울특별시 강남구 논현동 선릉로148길,1
서울특별시 강남구 논현동 선릉로94길,1
서울특별시 강남구 논현동 신반포로,1
서울특별시 강남구 논현동 압구정로,4
서울특별시 강남구 논현동 언주로,96
서울특별시 강남구 논현동 언주로113길,3
서울특별시 강남구 논현동 언주로126길,4
서울특별시 강남구 논현동 언주로129길,2
서울특별시 강남구 논현동 언주로130길,4
서울특별시 강남구 논현동 언주로134길,4
서울특별시 강남구 논현동 언주로146길,2
서울특별시 강남구 논현동 언주로147길,3
서울특별시 강남구 논현동 영동대로,2
서울특별시 강남구 논현동 올림픽대로,2
서울특별시 강남구 논현동 테헤란로,1
서울특별시 강남구 논현동 테헤란로27길,1
서울특별시 강남구 논현동 학동로,100
서울특별시 강남구 논현동 학동로11길,3
서울특별시 강남구 논현동 학동로20길,4
서울특별시 강남구 논현동 학동로23길,3
서울특별시 강남구 논현동 학동로24길,3
서울특별시 강남구 논현동 학동로33길,3
서울특별시 강남구 논현동 학동로34길,1
서울특별시 강남구 논현동 학동로45길,2
서울특별시 강남구 논현동 학동로46길,4
서울특별시 강남구 논현동 학동로50길,7
서울특별시 강남구 논현동 학동로6길,14
서울특별시 강남구 대치동 개포로,1
서울특별시 강남구 대치동 남부순환로,113
서울특별시 강남구 대치동 논현로,6
서울특별시 강남구 대치동 도곡로,60
서울특별시 강남구 대치동 도곡로101길,1
서울특별시 강남구 대치동 도곡로63길,4
서울특별시 강남구 대치동 도곡로64길,2
서울특별시 강남구 대치동 도곡로70길,1
서울특별시 강남구 대치동 도곡로77길,5
서울특별시 강남구 대치동 도곡로78길,10
서울특별시 강남구 대치동 도곡로87길,1
서울특별시 강남구 대치동 도곡로99길,1
서울특별시 강남구 대치동 밤고개로,1
서울특별시 강남구 대치동 봉은사로,1
서울특별시 강남구 대치동 분당수서로,24
서울특별시 강남구 대치동 삼성로,81
서울특별시 강남구 대치동 삼성로51길,1
서울특별시 강남구 대치동 삼성로57길,2
서울특별시 강남구 대치동 삼성로63길,4
서울특별시 강남구 대치동 삼성로67길,1
서울특별시 강남구 대치동 삼성로70길,1
서울특별시 강남구 대치동 삼성로71길,2
서울특별시 강남구 대치동 삼성로75길,1
서울특별시 강남구 대치동 삼성로85길,14
서울특별시 강남구 대치동 삼전로,3
서울특별시 강남구 대치동 선릉로,32
서울특별시 강남구 대치동 선릉로64길,3
서울특별시 강남구 대치동 선릉로72길,5
서울특별시 강남구 대치동 선릉로76길,2
서울특별시 강남구 대치동 선릉로82길,2
서울특별시 강남구 대치동 선릉로85길,1
서울특별시 강남구 대치동 선릉로86길,33
서울특별시 강남구 대치동 양재천로,9
서울특별시 강남구 대치동 언주로,2
서울특별시 강남구 대치동 역삼로,57
서울특별시 강남구 대치동 역삼로103길,1
서울특별시 강남구 대치동 역삼로107길,4
서울특별시 강남구 대치동 역삼로63길,5
서울특별시 강남구 대치동 역삼로77길,2
서울특별시 강남구 대치동 역삼로7길,1
서울특별시 강남구 대치동 역삼로83길,1
서울특별시 강남구 대치동 역삼로84길,1
서울특별시 강남구 대치동 영동대로,88
서울특별시 강남구 대치동 영동대로65길,1
서울특별시 강남구 대치동 영동대로75길,1
서울특별시 강남구 대치동 영동대로76길,1
서울특별시 강남구 대치동 영동대로81길,2
서울특별시 강남구 대치동 영동대로85길,5
서울특별시 강남구 대치동 영동대로86길,4
서울특별시 강남구 대치동 테헤란로,29
서울특별시 강남구 대치동 테헤란로104길,3
서울특별시 강남구 대치동 테헤란로114길,5
서울특별시 강남구 대치동 테헤란로1길,1
서울특별시 강남구 대치동 테헤란로27길,1
서울특별시 강남구 대치동 테헤란로37길,1
서울특별시 강남구 대치동 테헤란로51길,1
서울특별시 강남구 대치동 테헤란로64길,16
서울특별시 강남구 대치동 테헤란로69길,1
서울특별시 강남구 대치동 테헤란로70길,1
서울특별시 강남구 대치동 테헤란로78길,5
서울특별시 강남구 대치동 테헤란로88길,1
서울특별시 강남구 대치동 테헤란로98길,3
서울특별시 강남구 도곡동 강남대로,15
서울특별시 강남구 도곡동 강남대로44길,1
서울특별시 강남구 도곡동 강남대로58길,1
서울특별시 강남구 도곡동 남부순환로,75
서울특별시 강남구 도곡동 남부순환로363길,4
서울특별시 강남구 도곡동 남부순환로365길,2
서울특별시 강남구 도곡동 남부순환로378길,12
서울특별시 강남구 도곡동 논현로,44
서울특별시 강남구 도곡동 논현로28길,9
서울특별시 강남구 도곡동 논현로38길,1
서울특별시 강남구 도곡동 논현로47길,2
서울특별시 강남구 도곡동 도곡로,40
서울특별시 강남구 도곡동 도곡로14길,5
서울특별시 강남구 도곡동 도곡로4길,1
서울특별시 강남구 도곡동 도곡로8길,1
서울특별시 강남구 도곡동 밤고개로,1
서울특별시 강남구 도곡동 선릉로,14
서울특별시 강남구 도곡동 양재천로,16
서울특별시 강남구 도곡동 언주로,46
서울특별시 강남구 도곡동 언주로113길,1
서울특별시 강남구 도곡동 언주로30길,20
서울특별시 강남구 삼성동 논현로,1
서울특별시 강남구 삼성동 도산대로,1
서울특별시 강남구 삼성동 도산대로68길,1
