"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",돌샘유치원,서울특별시 강남구 개포로 516,,37.4891403199,127.0708697840,서울특별시 강남구청,수서경찰서,Y,1,12.6,2019-12-20
"유치원",신양유치원,서울특별시 강남구 선릉로10길 18-6,,37.483431,127.061678,서울특별시 강남구청,수서경찰서,Y,2,6,2019-12-20
"유치원",이화유치원,서울특별시 강남구 개포로109길 9,,37.495751,127.075096,서울특별시 강남구청,수서경찰서,Y,2,15,2019-12-20
"유치원",영동제일유치원,서울특별시 강남구 삼성로120길 28,,37.517579,127.053437,서울특별시 강남구청,강남경찰서,Y,2,5.8,2019-12-20
"유치원",소망유치원,서울특별시 강남구 광평로56길 11,,37.4879790845,127.1056313773,서울특별시 강남구청,수서경찰서,Y,1,11,2019-12-20
"유치원",청운유치원,서울특별시 강남구 언주로65길 5,,37.4950489901,127.045531,서울특별시 강남구청,수서경찰서,Y,1,11.5,2019-12-20
"유치원",묘동유치원,서울특별시 강남구 도곡로78길 8,,37.4974073916,127.058723,서울특별시 강남구청,수서경찰서,Y,5,5.5,2019-12-20
"유치원",푸른유치원,서울특별시 강남구 일원로14길 25,,37.4847980900,127.0811004779,서울특별시 강남구청,수서경찰서,Y,1,15.2,2019-12-20
"유치원",성요셉유치원,서울특별시 강남구 도산대로83길 27,,37.5262731393,127.0482111685,서울특별시 강남구청,강남경찰서,Y,2,5.9,2019-12-20
"유치원",강남유치원,서울특별시 강남구 선릉로129길 31,,37.515448,127.039009,서울특별시 강남구청,강남경찰서,Y,2,8.6,2019-12-20
"유치원",럭키유치원,서울특별시 강남구 논현로 213,,37.4914141895,127.0409970785,서울특별시 강남구청,수서경찰서,Y,2,6,2019-12-20
"유치원",반디유치원,서울특별시 강남구 광평로47길 17,,37.4879098215,127.0981866623,서울특별시 강남구청,수서경찰서,Y,2,9.6,2019-12-20
"유치원",신우주유치원,서울특별시 강남구 일원로 120,,37.4852006505,127.0826748096,서울특별시 강남구청,수서경찰서,Y,1,14.4,2019-12-20
"유치원",초원유치원,서울특별시 강남구 논현로14길 17,,37.475915,127.048578,서울특별시 강남구청,수서경찰서,Y,2,9.4,2019-12-20
"유치원",성결유치원,서울특별시 강남구 언주로121길 5,,37.511421,127.035354,서울특별시 강남구청,강남경찰서,Y,4,6,2019-12-20
"유치원",하늘빛유치원,서울특별시 강남구 양재대로55길 10,,37.493156,127.090993,서울특별시 강남구청,수서경찰서,Y,1,11.5,2019-12-20
"유치원",도곡렉슬유치원,서울특별시 강남구 선릉로 217,,37.4943212397,127.0535099547,서울특별시 강남구청,수서경찰서,Y,2,25,2019-12-20
"유치원",역삼초등학교병설유치원,서울특별시 강남구 강남대로66길 21,,37.4931611542,127.0326030259,서울특별시 강남구청,수서경찰서,Y,1,11.8,2019-12-20
"유치원",개포초등학교유치원,서울특별시 강남구 영동대로3길 45,,37.4868054401,127.0699765891,서울특별시 강남구청,수서경찰서,Y,1,15,2019-12-20
"유치원",대현초등학교병설유치원,서울특별시 강남구 역삼로98길 16,,37.5037227620,127.0635640432,서울특별시 강남구청,수서경찰서,Y,1,5.5,2019-12-20
"유치원",수서초등학교병설유치원,서울특별시 강남구 광평로51길 46,,37.4911505764,127.101549,서울특별시 강남구청,수서경찰서,Y,1,6.5,2019-12-20
"유치원",유정유치원,서울특별시 강남구 광평로34길 17,,37.4830073857,127.0949420948,서울특별시 강남구청,수서경찰서,N,,,2019-12-20
"유치원",아란유치원,서울특별시 강남구 압구정로 201,,37.5315339928,127.0292753857,서울특별시 강남구청,강남경찰서,Y,1,6,2019-12-20
"유치원",은곡유치원,서울특별시 강남구 헌릉로569길 41,,37.4668200316,127.096934,서울특별시 강남구청,수서경찰서,Y,1,20,2019-12-20
"초등학교",대곡초등학교,서울특별시 강남구 남부순환로 3022,,37.4947119051,127.0650264667,서울특별시 강남구청,수서경찰서,Y,2,40,2019-12-20
"초등학교",대왕초등학교,서울특별시 강남구 헌릉로 618길 8,,37.4646213557,127.1055894642,서울특별시 강남구청,수서경찰서,Y,2,6.1,2019-12-20
"초등학교",대현초등학교,서울특별시 강남구 역삼로98길 16,,37.5037227620,127.0635640432,서울특별시 강남구청,수서경찰서,Y,4,5.5,2019-12-20
"초등학교",도곡초등학교,서울특별시 강남구 선릉로64길 33,,37.4995106013,127.0544636040,서울특별시 강남구청,수서경찰서,Y,5,5.3,2019-12-20
"초등학교",도성초등학교,서울특별시 강남구 역삼로 313,,37.5014628230,127.0488737626,서울특별시 강남구청,수서경찰서,Y,2,23.1,2019-12-20
"초등학교",봉은초등학교,서울특별시 강남구 학동로 610,,37.5200827812,127.060981,서울특별시 강남구청,강남경찰서,Y,3,6,2019-12-20
"초등학교",삼릉초등학교,서울특별시 강남구 봉은사로63길 22,,37.5132595599,127.046914,서울특별시 강남구청,강남경찰서,Y,4,5.4,2019-12-20
"초등학교",청담초등학교,서울특별시 강남구 압구정로71길 9,,37.5282817801,127.0451533640,서울특별시 강남구청,강남경찰서,Y,6,5.9,2019-12-20
"초등학교",포이초등학교,서울특별시 강남구 개포로22길 87,,37.4752928730,127.0514162216,서울특별시 강남구청,수서경찰서,Y,3,14.5,2019-12-20
"초등학교",논현초등학교,서울특별시 강남구 강남대로120길 33,,37.5084906566,127.0262216669,서울특별시 강남구청,강남경찰서,Y,8,6,2019-12-20
"초등학교",신구초등학교,서울특별시 강남구 압구정로18길 28,,37.5233612951,127.0239915230,서울특별시 강남구청,강남경찰서,Y,8,5.5,2019-12-20
"초등학교",언북초등학교,서울특별시 강남구 삼성로135길 42,,37.5201260740,127.0447140682,서울특별시 강남구청,강남경찰서,Y,8,6,2019-12-20
"초등학교",영희초등학교,서울특별시 강남구 일원로 21,,37.4923016605,127.0811312059,서울특별시 강남구청,수서경찰서,Y,6,9.8,2019-12-20
"초등학교",일원초등학교,서울특별시 강남구 영동대로4길 20,,37.4897892510,127.0763250966,서울특별시 강남구청,수서경찰서,Y,3,7.6,2019-12-20
"초등학교",학동초등학교,서울특별시 강남구 선릉로115길 42,,37.5122603370,127.0395968888,서울특별시 강남구청,강남경찰서,Y,7,5.7,2019-12-20
"초등학교",개원초등학교,서울특별시 강남구 선릉로 29,,37.4816181495,127.0587379216,서울특별시 강남구청,수서경찰서,Y,2,12,2019-12-20
"초등학교",개일초등학교,서울특별시 강남구 개포로 401,,37.4862137836,127.057776,서울특별시 강남구청,수서경찰서,Y,2,20,2019-12-20
"초등학교",구룡초등학교,서울특별시 강남구 개포로 263,,37.4811961305,127.0517730175,서울특별시 강남구청,수서경찰서,Y,3,14,2019-12-20
"초등학교",대도초등학교,서울특별시 강남구 선릉로 209,,37.4926454265,127.0533775880,서울특별시 강남구청,수서경찰서,Y,2,28.7,2019-12-20
"초등학교",대모초등학교,서울특별시 강남구 광평로20길 27,,37.4805995343,127.0859937141,서울특별시 강남구청,수서경찰서,Y,2,14.5,2019-12-20
"초등학교",대진초등학교,서울특별시 강남구 개포로109길 74,,37.497027,127.0780784792,서울특별시 강남구청,수서경찰서,Y,3,9,2019-12-20
"초등학교",수서초등학교,서울특별시 강남구 광평로51길 46,,37.4911505764,127.101549,서울특별시 강남구청,수서경찰서,Y,5,6.5,2019-12-20
"초등학교",압구정초등학교,서울특별시 강남구 압구정로39길 29,,37.5317390226,127.0308412892,서울특별시 강남구청,강남경찰서,Y,2,8.9,2019-12-20
"초등학교",언주초등학교,서울특별시 강남구 남부순환로363길 19,,37.4863230777,127.036781,서울특별시 강남구청,수서경찰서,Y,5,7.7,2019-12-20
"초등학교",역삼초등학교,서울특별시 강남구 강남대로66길 21,,37.4931611542,127.0326030259,서울특별시 강남구청,수서경찰서,Y,7,6.9,2019-12-20
"초등학교",왕북초등학교,서울특별시 강남구 광평로31길 74,,37.4863299033,127.086039,서울특별시 강남구청,수서경찰서,Y,3,9,2019-12-20
"초등학교",개포초등학교,서울특별시 강남구 영동대로3길 45,,37.4868054401,127.0699765891,서울특별시 강남구청,수서경찰서,Y,1,15,2019-12-20
"초등학교",대청초등학교,서울특별시 강남구 양재대로55길 28,,37.493117,127.0877676116,서울특별시 강남구청,수서경찰서,Y,4,14.7,2019-12-20
"초등학교",대치초등학교,서울특별시 강남구 양재천로 363,,37.4912787899,127.0621965791,서울특별시 강남구청,수서경찰서,Y,3,8.8,2019-12-20
"초등학교",양전초등학교,서울특별시 강남구 개포로 513,,37.4902836561,127.069478,서울특별시 강남구청,수서경찰서,Y,4,15,2019-12-20
"초등학교",세명초등학교,서울특별시 강남구 자곡로 55,,37.468857,127.0910762245,서울특별시 강남구청,수서경찰서,Y,2,25,2019-12-20
"초등학교",율현초등학교,서울특별시 강남구 밤고개로21길 15,,37.474559,127.108267,서울특별시 강남구청,수서경찰서,Y,1,8,2019-12-20
"초등학교",자곡초등학교,서울특별시 강남구 자곡로 150,,37.472191,127.0995995421,서울특별시 강남구청,수서경찰서,Y,2,25,2019-12-20
"특수학교",밀알학교,서울특별시 강남구 일원로 90,,37.4857813187,127.0820739268,서울특별시 강남구청,수서경찰서,Y,3,14.4,2019-12-20
"특수학교",정애학교,서울특별시 강남구 봉은사로81길 16,,37.514363,127.054425,서울특별시 강남구청,강남경찰서,Y,2,6,2019-12-20
